Title,Year,User Score,Description,Directors,Screenplay,Genres,Revenue
The Lord of the Rings: The Fellowship of the Ring,2001-12-18 (DE),84%,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",Peter Jackson,,"Adventure, Fantasy, Action","$871,368,364.00"
Aquaman and the Lost Kingdom,2023-12-21 (DE),67%,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Arthur (Aquaman) forges an alliance with his imprisoned brother. They must protect the kingdom.",James Wan,,"Action, Adventure, Fantasy","$434,381,226.00"
The Avengers,2012-04-26 (DE),77%,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Joss Whedon,,"Science Fiction, Action, Adventure","$1,518,815,515.00"
Coco,2017-11-30 (DE),82%,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",Lee Unkrich,,"Family, Animation, Music, Adventure","$807,816,196.00"
Civil War,2024-04-18 (DE),69%,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",Alex Garland,Alex Garland,"War, Action, Drama",
The Union,2024-08-16 (DE),63%,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,Julian Farino,"Joe Barton, David Guggenheim","Action, Comedy",
Hijack 1971,2024-06-21 (KR),60%,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",Kim Sung-han,Kim Kyung-chan,"Crime, Action, Thriller",$14.00
Bagman,2024-12-05 (DE),62%,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",Colm McCarthy,John Hulme,"Horror, Thriller",
Terrifier 3,2024-10-31 (DE),73%,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",Damien Leone,Damien Leone,"Horror, Thriller","$46,694,902.00"
Don't Tell Mom the Babysitter's Dead,2024-04-12 (US),61%,"Seventeen year old Tanya's plans for a carefree summer are derailed when her stressed-to-the-limit mom takes off for a wellness retreat and puts Tanya and her three siblings in the charge of a crotchety (and racist) old babysitter. The babysitter’s sudden death leaves the kids short on cash and reluctant to pull mom prematurely out of her much-needed R&R, so Tanya is forced to get a job. Posing as an adult, she gets a gig as the executive assistant at a fashion company and overnight is thrust into the world of adulthood and parenting.",Wade Allain-Marcus,Chuck Hayward,Comedy,
